parent_category	category	fallback_name	master_count	variant_count	tgv_leaf
		ANTISTRESS HELMET "WORKER"	1	1	home-and-living/personal-care-and-wellness/first-aid-kits
		BACKPACK "DIRECTOR"	1	1	bags/backpacks/standard-backpacks
		BAG "ARONA"	1	1	bags/shopping-bags/non-woven-bags
		BAG “COSTANZA”	1	1	bags/shopping-bags/non-woven-bags
		COMPUTER BAG “EXECUTIVE”	1	1	bags/specialty-bags/document-and-laptop-bags
		CORRUGATED CARDBOARD PRESENTATION BOX “ZARIS”	2	2	bags/gift-bags
		KEYRING "VARNEK"	1	1	tools-and-keyrings/keyrings/basic-keyrings
		KID LIGHT D&F T-SHIRT "BAYGOR"	1	4	apparel-and-wearables/t-shirts
		NON WOVEN ADULT BIB “CALSOTS”	1	1	home-and-living/kitchen-and-dining/aprons-and-gloves
		NON WOVEN BAG “DAMASCO”	1	1	bags/shopping-bags/non-woven-bags
		NON WOVEN BAG "SENSE"	1	1	bags/shopping-bags/non-woven-bags
		SET 5 PENCILS "BIBY"	1	1	office-and-writing/writing-instruments/pencils
		SILVER METALLIC WOODEN PENCIL "MATT"	1	1	office-and-writing/writing-instruments/pencils
		STEEL TENT 3X4,5M “ALBORÁN”	1	1	outdoor-and-leisure/outdoor-gear/camping-gear
		STEEL TENT SHEET 3X4,5M “SANOK”	1	1	outdoor-and-leisure/outdoor-gear/camping-gear
		WOODEN FAN 16 BARS “SEVILLA”	1	1	lanyards-and-events/event-accessories/fans
	Accessories & Details		2	2	seasonal-gifts
	Articles for sublimation		1	1	seasonal-gifts
	Articles for sublimation	TROPHY “ORIÓN"	1	1	office-and-writing/office-accessories/trophies-and-paperweights
	Articles for sublimation	TROPHY SUBLIMATION “ORIÓN"	1	1	office-and-writing/office-accessories/trophies-and-paperweights
	Backpack - bags		9	31	bags/backpacks/standard-backpacks
	Backpacks, trolleys and briefcases		1	1	bags/specialty-bags/document-and-laptop-bags
	Bags		1	1	bags/shopping-bags/non-woven-bags
	Bottles, drums and Thermos		1	1	drinkware/bottles/thermal-and-vacuum-flasks
	Bottles, drums and Thermos	BOTTLE 600ML “NORTH”	1	7	drinkware/bottles/water-bottles
	Caps & hats		2	7	apparel-and-wearables/headwear/caps-and-hats
	Catálogos		3	3	office-and-writing/office-accessories/folders-and-portfolios
	Christmas	CHRISTMAS BAG  "GRATIA"	1	1	bags/shopping-bags/non-woven-bags
	Christmas	CHRISTMAS BAG  "MILA"	1	1	bags/shopping-bags/non-woven-bags
	Christmas	CHRISTMAS BAG "FELICITÀ"	1	1	bags/shopping-bags/non-woven-bags
	Christmas	CHRISTMAS GIFT BAG “SHERWOOD”	2	2	bags/gift-bags
	Christmas	CHRISTMAS GIFT BAG 10x14,5CM “SNOWY”	1	1	bags/gift-bags
	Christmas	CHRISTMAS GIFT BAG 13,5x18CM  “SNOWY”	1	1	bags/gift-bags
	Diaries, notebooks and notebooks		2	3	office-and-writing/notebooks-and-planners/diaries-and-almanacs
	Electronics		2	2	electronics/computer-and-mobile-accessories/phone-holders-and-stands
	Events, parties and summer		31	103	home-and-living/seasonal-and-event-items/summer-and-beach-items
	Events, parties and summer	10 STICKS MINI FAN "AZAHAR"	1	3	lanyards-and-events/event-accessories/fans
	Events, parties and summer	ADJUSTABLE BRACELET "CACHI"	1	10	lanyards-and-events/wristbands
	Events, parties and summer	ADJUSTABLE BRACELET "METROPOL"	1	4	lanyards-and-events/wristbands
	Events, parties and summer	ADULT REFLECTIVE SPORT BIB "DURY"	3	3	outdoor-and-leisure/sports-and-fitness/fitness-and-yoga-accessories
	Events, parties and summer	ANDALUSIAN FLAG WITH LACES "REGIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	AUTOMATIC BRACELET “FITTER”	1	7	lanyards-and-events/wristbands
	Events, parties and summer	BAG "EMERIL"	1	1	bags/shopping-bags/non-woven-bags
	Events, parties and summer	BAG "MYKONOS"	1	1	bags/shopping-bags/non-woven-bags
	Events, parties and summer	BAMBOO FAN "RITA"	1	10	lanyards-and-events/event-accessories/fans
	Events, parties and summer	BASQUE FLAG WITH LACES "REGIÓN"	1	1	lanyards-and-events/event-accessories/flags-and-banners
	Events, parties and summer	BATH TOWEL XXL "MOJACAR"	1	5	home-and-living/textiles/towels
	Events, parties and summer	BEACH RAQUETS SET "PLAYFUL"	1	1	tools-and-keyrings/tools/multi-tools
	Events, parties and summer	BEACH UMBRELLA "ACAPULCO"	1	5	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	BIRTH BRACELET "MATER"	1	2	lanyards-and-events/wristbands
	Events, parties and summer	BOB CAP "STONE"	1	2	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	BULLFIGHTER'S CAP SPAIN "TAURINA"	1	1	apparel-and-wearables/headwear/caps-and-hats
	Events, parties and summer	CAR FLAG "DIVAR"	1	4	lanyards-and-events/event-accessories/flags-and-banners
