category_level1	category_level2	category_level3	master_count	variant_count	tgv_leaf
Bags & travel	Backpacks	Anti-theft backpacks	1	1	bags/backpacks/anti-theft-backpacks
Bags & travel	Backpacks	Backpacks	19	61	bags/backpacks/standard-backpacks
Bags & travel	Backpacks	Laptop backpacks	43	97	bags/backpacks/laptop-backpacks
Bags & travel	Backpacks	Reflective bags	4	4	bags/backpacks/standard-backpacks
Bags & travel	Business bags	Document bags	4	5	bags/specialty-bags/document-and-laptop-bags
Bags & travel	Business bags	Laptop bags	8	15	bags/specialty-bags/document-and-laptop-bags
Bags & travel	Business bags	Laptop sleeves	13	15	bags/specialty-bags/document-and-laptop-bags
Bags & travel	Drawstring bags		31	152	bags/backpacks/drawstring-bags
Bags & travel	Gift bags	Gift bags	17	31	bags/gift-bags
Bags & travel	Gift bags	Paper bags	8	27	bags/gift-bags
Bags & travel	Shopping bags	Foldable bags	6	33	bags/shopping-bags/foldable-bags
Bags & travel	Shopping bags	Food bags	2	2	bags/shopping-bags/rpet-and-recycled-bags
Bags & travel	Shopping bags	Large shopping bags	15	34	bags/shopping-bags/cotton-and-canvas
Bags & travel	Shopping bags	Tote bags	48	249	bags/shopping-bags/cotton-and-canvas
Bags & travel	Sports & outdoor bags	Beach bags	17	41	bags/shopping-bags/cotton-and-canvas
Bags & travel	Sports & outdoor bags	Cooler bags	31	62	bags/specialty-bags/cooler-bags
Bags & travel	Sports & outdoor bags	Sports & gym bags	13	33	bags/specialty-bags/gym-and-sports-bags
Bags & travel	Sports & outdoor bags	Waist & cross body bags	15	36	bags/specialty-bags/fanny-packs-and-waist-bags
Bags & travel	Sports & outdoor bags	Waterproof bags	8	16	bags/specialty-bags/waterproof-bags
Bags & travel	Travel accessories		9	11	accommodation-and-travel/travel-accessories
Bags & travel	Travel accessories	Adapters SKROSS	7	7	electronics/power-and-charging/charging-cables-and-adapters
Bags & travel	Travel accessories	Blankets & cushions	11	19	home-and-living/textiles/blankets
Bags & travel	Travel accessories	Luggage tags	6	10	accommodation-and-travel/travel-accessories
Bags & travel	Travel accessories	Toiletry bags	3	4	accommodation-and-travel/toiletry-bags
Bags & travel	Travel accessories	Travel accessories	7	10	accommodation-and-travel/travel-accessories
Bags & travel	Travel accessories	Wallets & RFID	10	11	accommodation-and-travel/travel-accessories
Bags & travel	Weekend bags & trolleys	Carry on trolleys	12	21	accommodation-and-travel/travel-bags-and-luggage
Bags & travel	Weekend bags & trolleys	weekend bags	14	17	accommodation-and-travel/travel-bags-and-luggage
Clothing & wearables	Brands	SOL'S	4	39	apparel-and-wearables/sportswear-and-activewear
Clothing & wearables	Christmas jumpers		4	4	apparel-and-wearables/seasonal-wearables
Clothing & wearables	Fleece & Softshell	Fleece	8	511	apparel-and-wearables/sweaters-and-fleece
Clothing & wearables	Fleece & Softshell	Softshell	10	347	apparel-and-wearables/jackets-and-bodywarmers
Clothing & wearables	Kids		18	876	apparel-and-wearables/sportswear-and-activewear
Clothing & wearables	Occasion to wear	Sports & active wear	1	42	apparel-and-wearables/sportswear-and-activewear
Clothing & wearables	Outerwear	Bodywarmers	7	214	apparel-and-wearables/jackets-and-bodywarmers
Clothing & wearables	Outerwear	Jackets	4	44	apparel-and-wearables/jackets-and-bodywarmers
Clothing & wearables	Outerwear	Parkas	1	64	apparel-and-wearables/jackets-and-bodywarmers
Clothing & wearables	Outerwear	Windbreakers	4	188	apparel-and-wearables/jackets-and-bodywarmers
Clothing & wearables	Polo shirts		1	142	apparel-and-wearables/polo-shirts
Clothing & wearables	Polo shirts	Long sleeves	2	130	apparel-and-wearables/polo-shirts
Clothing & wearables	Polo shirts	Short sleeves	18	1755	apparel-and-wearables/polo-shirts
Clothing & wearables	Shirts		2	60	apparel-and-wearables/fashion-apparel/shirts
Clothing & wearables	Sweaters		1	14	apparel-and-wearables/sweaters-and-fleece
Clothing & wearables	Sweatshirts	Crew neck	4	414	apparel-and-wearables/sweaters-and-fleece
Clothing & wearables	Sweatshirts	Full zip	6	226	apparel-and-wearables/sweaters-and-fleece
Clothing & wearables	Sweatshirts	Half zip	2	166	apparel-and-wearables/sweaters-and-fleece
Clothing & wearables	Sweatshirts	Hoodie	5	562	apparel-and-wearables/sweaters-and-fleece
Clothing & wearables	T-shirts		1	91	apparel-and-wearables/t-shirts
Clothing & wearables	T-shirts	Long sleeves	3	131	apparel-and-wearables/t-shirts
Clothing & wearables	T-shirts	Short sleeves	17	1382	apparel-and-wearables/t-shirts
Clothing & wearables	Textile categories	T-shirts	15	2169	apparel-and-wearables/t-shirts
Drink & lunchware	Bottles	Double wall bottles	39	138	drinkware/bottles/thermal-and-vacuum-flasks
Drink & lunchware	Bottles	Glass bottles	21	52	drinkware/bottles/water-bottles
Drink & lunchware	Bottles	Hip flasks	6	7	drinkware/bottles/hip-flasks
Drink & lunchware	Bottles	Smart bottles & sets	10	12	drinkware/bottles/water-bottles
Drink & lunchware	Bottles	Vacuum flasks	9	22	drinkware/bottles/thermal-and-vacuum-flasks
Drink & lunchware	Bottles	Water & sports bottles	51	286	drinkware/bottles/sport-bottles
Drink & lunchware	Ceramics	Mugs	34	107	drinkware/mugs-and-cups/ceramic-mugs
Drink & lunchware	Ceramics	Sets	2	2	drinkware/mugs-and-cups/ceramic-mugs
Drink & lunchware	Glasses hospitality	Carafes	2	2	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Glasses hospitality	Long glasses	1	1	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Glasses hospitality	Sets	1	1	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Glasses hospitality	Short glasses	5	5	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Glasses hospitality	Shot glasses	2	2	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Glasses hospitality	Tea & coffee glasses	7	7	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Glasses hospitality	Wine glasses	1	1	drinkware/mugs-and-cups/glass-mugs
Drink & lunchware	Lunchware	Cutlery	9	19	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Drink & lunchware	Lunchware	Lunch boxes	34	86	home-and-living/kitchen-and-dining/lunch-boxes-and-food-containers
Drink & lunchware	Lunchware	Straws	3	3	drinkware/bar-and-wine-accessories/reusable-straws
Drink & lunchware	Mugs & tumblers	Mugs & cups	21	72	drinkware/mugs-and-cups/ceramic-mugs
Drink & lunchware	Mugs & tumblers	Tumblers double wall	42	155	drinkware/mugs-and-cups/travel-tumblers
Drink & lunchware	Mugs & tumblers	Tumblers single wall	12	38	drinkware/mugs-and-cups/travel-tumblers
Head & multiwear	Beanies	Beanies	10	39	apparel-and-wearables/headwear/beanies
Head & multiwear	Caps & hats	Baseball caps 5 panels	11	78	apparel-and-wearables/headwear/caps-and-hats
Head & multiwear	Caps & hats	Baseball caps 6 panels	5	57	apparel-and-wearables/headwear/caps-and-hats
Head & multiwear	Caps & hats	Bucket hats	6	42	apparel-and-wearables/headwear/caps-and-hats
Head & multiwear	Caps & hats	Flat visors	1	5	apparel-and-wearables/headwear/visors
Head & multiwear	Caps & hats	Hats	10	45	apparel-and-wearables/headwear/caps-and-hats
Head & multiwear	Caps & hats	Performance caps	1	6	apparel-and-wearables/headwear/caps-and-hats
Head & multiwear	Caps & hats	Trucker caps	2	18	apparel-and-wearables/headwear/caps-and-hats
Head & multiwear	Footwear	Slippers & sliders	20	51	apparel-and-wearables/seasonal-wearables
Head & multiwear	Footwear	Sneakers	11	11	apparel-and-wearables/seasonal-wearables
Head & multiwear	Footwear	Socks	2	10	apparel-and-wearables/socks
Head & multiwear	Multiscarves	Headbands	1	2	apparel-and-wearables/textile-accessories
Head & multiwear	Multiscarves	Multiscarves	1	2	apparel-and-wearables/textile-accessories
Head & multiwear	Scarves & gloves	Gloves	5	9	apparel-and-wearables/textile-accessories
Head & multiwear	Scarves & gloves	Scarves	1	4	apparel-and-wearables/textile-accessories
Home & wellness	Candles & fragrances	Candles	21	53	home-and-living/home-decor/candles-and-fragrances
Home & wellness	Candles & fragrances	Diffusers & scents	8	10	home-and-living/home-decor/candles-and-fragrances
Home & wellness	Cosmetics	Lipbalms	16	70	home-and-living/personal-care-and-wellness/lip-balms
Home & wellness	Cosmetics	Sun lotions	4	9	home-and-living/personal-care-and-wellness/sun-care
Home & wellness	Mints & sweets		8	18	seasonal-gifts
Home & wellness	Personal care	Bath accessories	14	22	home-and-living/seasonal-and-event-items/household-accessories
Home & wellness	Personal care	Care essentials	16	27	home-and-living/seasonal-and-event-items/household-accessories
Home & wellness	Personal care	Heat & cold pads	9	14	home-and-living/seasonal-and-event-items/household-accessories
Home & wellness	Personal care	Mirrors	12	14	home-and-living/personal-care-and-wellness/mirrors
Home & wellness	Personal care	Nail kits	3	3	home-and-living/personal-care-and-wellness/nail-and-manicure-kits
Home & wellness	Personal care	Soaps & gels	3	3	home-and-living/personal-care-and-wellness/hand-sanitizers-and-gels
Home & wellness	Personal care	Toiletry & cosmetic bags	21	51	accommodation-and-travel/toiletry-bags
Home & wellness	Towels & blankets	Blankets	14	51	home-and-living/textiles/blankets
Kids & games	Baby & toddlers		7	7	kids-and-games/baby-and-toddler-products
Kids & games	Indoor games	Anti stress	11	36	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Indoor games	Brain teasers	9	9	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Indoor games	Card games	7	8	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Indoor games	Desk games	17	17	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Indoor games	Others	4	12	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Outdoor games		2	3	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Outdoor games	Inflatables	1	2	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Outdoor games	Outdoor games	8	14	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids & games	Stuffed animals		17	31	kids-and-games/toys-and-plush/stuffed-animals
Kids & games	Writing & colouring	Art paints	3	3	kids-and-games/creative-play/drawing-and-coloring-items
Kids & games	Writing & colouring	Colouring pencils	5	5	kids-and-games/creative-play/drawing-and-coloring-items
Kids & games	Writing & colouring	Colouring sets	16	16	kids-and-games/creative-play/drawing-and-coloring-items
Kids & games	Writing & colouring	Kids colouring bags	5	7	kids-and-games/creative-play/drawing-and-coloring-items
Kids & games	Writing & colouring	Pencil cases & Accessories	4	5	kids-and-games/creative-play/pencil-cases-and-accessories
Kitchen & accessories	Gift sets	Cheese sets	4	4	home-and-living/kitchen-and-dining/cutting-boards
Kitchen & accessories	Gift sets	Cocktail sets & accessories	8	8	drinkware/bar-and-wine-accessories/cocktail-sets
Kitchen & accessories	Gift sets	Wine sets & accessories	12	12	drinkware/bar-and-wine-accessories/wine-sets
Kitchen & accessories	Home & hospitality textiles	Aprons & gloves	20	68	home-and-living/kitchen-and-dining/aprons-and-gloves
Kitchen & accessories	Home & hospitality textiles	Kitchen & table linen	2	5	home-and-living/kitchen-and-dining/aprons-and-gloves
Kitchen & accessories	Home & hospitality textiles	Others	8	56	home-and-living/textiles/towels
Kitchen & accessories	Kitchenware	Boards	21	21	home-and-living/kitchen-and-dining/cutting-boards
Kitchen & accessories	Kitchenware	Bottle openers & stoppers	25	28	drinkware/bar-and-wine-accessories/bottle-openers-and-stoppers
Kitchen & accessories	Kitchenware	Chef´s knives	4	4	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Kitchen & accessories	Kitchenware	Coasters	10	16	drinkware/bar-and-wine-accessories/coasters
Kitchen & accessories	Kitchenware	Kitchen utensils	24	24	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Kitchen & accessories	Kitchenware	Others	6	6	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Kitchen & accessories	Tea & coffee		23	27	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Lanyards & events	Badges & holders		9	15	lanyards-and-events/badges-and-holders
Lanyards & events	Lanyards	Badge reels lanyards	1	3	lanyards-and-events/lanyards
Lanyards & events	Lanyards	Cord lanyards	1	1	lanyards-and-events/lanyards
Lanyards & events	Lanyards	Silk screen lanyards	6	52	lanyards-and-events/lanyards
Lanyards & events	Lanyards	Special lanyards	2	4	lanyards-and-events/lanyards
Lanyards & events	Lanyards	Wrist & phone holders	2	3	lanyards-and-events/lanyards
Lanyards & events	Pins & buttons	Buttons	5	5	lanyards-and-events/pins-and-buttons
Lanyards & events	Sunglasses		11	44	outdoor-and-leisure/travel-and-beach/sunglasses
Lanyards & events	Sunglasses	Cleaning cloths & cases	2	2	outdoor-and-leisure/travel-and-beach/sunglasses
Lanyards & events	Wristbands		4	30	lanyards-and-events/wristbands
Office & writing	Computer accessories	Hubs	9	10	electronics/power-and-charging/charging-cables-and-adapters
Office & writing	Computer accessories	Phone stands & holders	20	24	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Office & writing	Desk accessories	Desk & wall clocks	9	12	home-and-living/home-decor/clocks-and-weather-stations
Office & writing	Desk accessories	Desk lamps	8	12	office-and-writing/office-accessories/desk-accessories
Office & writing	Desk accessories	Mousepads & mouses	13	15	electronics/computer-and-mobile-accessories/computer-mice-and-mousepads
Office & writing	Desk accessories	Others	33	39	office-and-writing/office-accessories/desk-accessories
Office & writing	Desk accessories	Trophies (awards) & paper weights	15	15	office-and-writing/office-accessories/trophies-and-paperweights
Office & writing	Desk accessories	Weather stations	8	8	home-and-living/home-decor/clocks-and-weather-stations
Office & writing	Notebooks	Combi sets	26	53	office-and-writing/notebooks-and-planners/notebooks
Office & writing	Notebooks	Hard cover	33	156	office-and-writing/notebooks-and-planners/notebooks
Office & writing	Notebooks	Ringbound (spiral)	9	17	office-and-writing/notebooks-and-planners/notebooks
Office & writing	Notebooks	Soft cover	10	25	office-and-writing/notebooks-and-planners/notebooks
Office & writing	Paper desk accessories	Desk pads & calendars	4	4	office-and-writing/notebooks-and-planners/diaries-and-almanacs
